workspace,bucket,field_path,source_value
bba,webhook_distinct_field,Publisher_Name,Agents
bba,webhook_distinct_field,Publisher_Name,BTL
bba,webhook_distinct_field,Publisher_Name,Careers360
bba,webhook_distinct_field,Publisher_Name,Chat
bba,webhook_distinct_field,Publisher_Name,Chatgpt
bba,webhook_distinct_field,Publisher_Name,Collegedunia
bba,webhook_distinct_field,Publisher_Name,Direct
bba,webhook_distinct_field,Publisher_Name,Facebook
bba,webhook_distinct_field,Publisher_Name,Google Ads
bba,webhook_distinct_field,Publisher_Name,Kollegeapply
bba,webhook_distinct_field,Publisher_Name,Not Mapped
bba,webhook_distinct_field,Publisher_Name,Organic
bba,webhook_distinct_field,Publisher_Name,Others
bba,webhook_distinct_field,Publisher_Name,Previous Year Paper
bba,webhook_distinct_field,Publisher_Name,Referral
bba,webhook_distinct_field,Publisher_Name,Shiksha
bba,webhook_distinct_field,Publisher_Name,Social
bba,webhook_distinct_field,Publisher_Name,Source Not Set
bba,webhook_distinct_field,Publisher_Name,Walk In
bba,webhook_distinct_field,Publisher_Name,Webinar USA SA
bba,webhook_distinct_field,Publisher_Name,Website
bba,webhook_distinct_field,Traffic_Channel,Chat
bba,webhook_distinct_field,Traffic_Channel,Direct
bba,webhook_distinct_field,Traffic_Channel,Offline
bba,webhook_distinct_field,Traffic_Channel,Organic
bba,webhook_distinct_field,Traffic_Channel,Other Campaigns
bba,webhook_distinct_field,Traffic_Channel,Paid Ads
bba,webhook_distinct_field,Traffic_Channel,Previous Year Paper
bba,webhook_distinct_field,Traffic_Channel,Publisher Campaign
bba,webhook_distinct_field,Traffic_Channel,Referral
bba,webhook_distinct_field,Traffic_Channel,Social
bba,webhook_distinct_field,Registration_Channel,email
bba,webhook_distinct_field,Registration_Channel,fb
bba,webhook_distinct_field,Registration_Channel,npf
idm,crm_leadSourceExpr_aggregate,,direct
idm,crm_leadSourceExpr_aggregate,,organic
idm,crm_leadSourceExpr_aggregate,,social
idm,crm_leadSourceExpr_aggregate,,default_source
idm,crm_leadSourceExpr_aggregate,,lead nurturing
idm,crm_leadSourceExpr_aggregate,,singinglines
idm,crm_leadSourceExpr_aggregate,,idm_qr_code
idm,crm_leadSourceExpr_aggregate,,agents
idm,crm_leadSourceExpr_aggregate,,kollegeapply
idm,crm_leadSourceExpr_aggregate,,coachinginstitute
idm,crm_leadSourceExpr_aggregate,,collegedunia
idm,crm_leadSourceExpr_aggregate,,web
idm,crm_leadSourceExpr_aggregate,,whatsappleadnurturing_medium=i_ux_1
idm,crm_leadSourceExpr_aggregate,,designifffa
idm,crm_leadSourceExpr_aggregate,,consultant
idm,crm_leadSourceExpr_aggregate,,s15302604
idm,crm_leadSourceExpr_aggregate,,outbound call
idm,crm_leadSourceExpr_aggregate,,alagangle
idm,crm_leadSourceExpr_aggregate,,blog
idm,crm_leadSourceExpr_aggregate,,chatgpt.com#professional-certification
idm,crm_leadSourceExpr_aggregate,,archilearn
idm,crm_leadSourceExpr_aggregate,,beyondees
idm,crm_leadSourceExpr_aggregate,,fs
idm,crm_leadSourceExpr_aggregate,,websitepyq
idm,crm_leadSourceExpr_aggregate,,d2
idm,crm_leadSourceExpr_aggregate,,chatgpt.com
idm,crm_leadSourceExpr_aggregate,,database
idm,crm_leadSourceExpr_aggregate,,brds
idm,crm_leadSourceExpr_aggregate,,google
idm,crm_leadSourceExpr_aggregate,,careers360
idm,crm_leadSourceExpr_aggregate,,chat
idm,crm_leadSourceExpr_aggregate,,creativeedge
idm,crm_leadSourceExpr_aggregate,,liveform
